[2023-05-31 04:01:07] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 04:01:07] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 50
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_50x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 04:01:08] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 04:01:35] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 04:01:37] The number of trainable parameters: 25556032
[2023-05-31 04:08:36] [Iter    1000/  64000] trn/loss 6.187e+00, trn/negative_log_likelihood 6.187e+00, trn/w_norm 2.493e+02, trn/g_norm 7.064e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 6.102e-02, val/nll 5.489e+00, val/best_acc 6.102e-02 (best_acc: 0.000e+00 -> 6.102e-02)
[2023-05-31 04:14:55] [Iter    2000/  64000] trn/loss 4.895e+00, trn/negative_log_likelihood 4.895e+00, trn/w_norm 2.232e+02, trn/g_norm 1.060e+00, trn/lr 1.874e-01, trn/dyn_scale 6.554e+04, val/acc 1.485e-01, val/nll 4.458e+00, val/best_acc 1.485e-01 (best_acc: 6.102e-02 -> 1.485e-01)
[2023-05-31 04:21:29] [Iter    3000/  64000] trn/loss 3.839e+00, trn/negative_log_likelihood 3.839e+00, trn/w_norm 1.853e+02, trn/g_norm 1.011e+00, trn/lr 3.124e-01, trn/dyn_scale 6.554e+04, val/acc 2.759e-01, val/nll 3.463e+00, val/best_acc 2.759e-01 (best_acc: 1.485e-01 -> 2.759e-01)
[2023-05-31 04:28:08] [Iter    4000/  64000] trn/loss 3.204e+00, trn/negative_log_likelihood 3.204e+00, trn/w_norm 1.535e+02, trn/g_norm 9.286e-01, trn/lr 4.374e-01, trn/dyn_scale 6.554e+04, val/acc 3.151e-01, val/nll 3.227e+00, val/best_acc 3.151e-01 (best_acc: 2.759e-01 -> 3.151e-01)
[2023-05-31 04:34:37] [Iter    5000/  64000] trn/loss 2.885e+00, trn/negative_log_likelihood 2.885e+00, trn/w_norm 1.386e+02, trn/g_norm 8.777e-01, trn/lr 5.624e-01, trn/dyn_scale 6.554e+04, val/acc 3.408e-01, val/nll 3.115e+00, val/best_acc 3.408e-01 (best_acc: 3.151e-01 -> 3.408e-01)
[2023-05-31 04:41:06] [Iter    6000/  64000] trn/loss 2.719e+00, trn/negative_log_likelihood 2.719e+00, trn/w_norm 1.379e+02, trn/g_norm 8.333e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.188e-01, val/nll 2.604e+00, val/best_acc 4.188e-01 (best_acc: 3.408e-01 -> 4.188e-01)
[2023-05-31 04:47:23] [Iter    7000/  64000] trn/loss 2.618e+00, trn/negative_log_likelihood 2.618e+00, trn/w_norm 1.427e+02, trn/g_norm 7.982e-01, trn/lr 7.899e-01, trn/dyn_scale 6.554e+04, val/acc 4.110e-01, val/nll 2.653e+00, val/best_acc 4.188e-01
[2023-05-31 04:53:54] [Iter    8000/  64000] trn/loss 2.517e+00, trn/negative_log_likelihood 2.517e+00, trn/w_norm 1.454e+02, trn/g_norm 7.900e-01, trn/lr 7.992e-01, trn/dyn_scale 6.554e+04, val/acc 4.320e-01, val/nll 2.552e+00, val/best_acc 4.320e-01 (best_acc: 4.188e-01 -> 4.320e-01)
[2023-05-31 05:00:15] [Iter    9000/  64000] trn/loss 2.450e+00, trn/negative_log_likelihood 2.450e+00, trn/w_norm 1.469e+02, trn/g_norm 7.909e-01, trn/lr 7.973e-01, trn/dyn_scale 6.554e+04, val/acc 4.433e-01, val/nll 2.442e+00, val/best_acc 4.433e-01 (best_acc: 4.320e-01 -> 4.433e-01)
[2023-05-31 05:06:50] [Iter   10000/  64000] trn/loss 2.402e+00, trn/negative_log_likelihood 2.402e+00, trn/w_norm 1.479e+02, trn/g_norm 7.928e-01, trn/lr 7.942e-01, trn/dyn_scale 6.554e+04, val/acc 4.505e-01, val/nll 2.418e+00, val/best_acc 4.505e-01 (best_acc: 4.433e-01 -> 4.505e-01)
[2023-05-31 05:13:09] [Iter   11000/  64000] trn/loss 2.366e+00, trn/negative_log_likelihood 2.366e+00, trn/w_norm 1.488e+02, trn/g_norm 7.944e-01, trn/lr 7.900e-01, trn/dyn_scale 6.554e+04, val/acc 4.265e-01, val/nll 2.598e+00, val/best_acc 4.505e-01
[2023-05-31 05:19:30] [Iter   12000/  64000] trn/loss 2.336e+00, trn/negative_log_likelihood 2.336e+00, trn/w_norm 1.493e+02, trn/g_norm 7.967e-01, trn/lr 7.846e-01, trn/dyn_scale 6.554e+04, val/acc 4.834e-01, val/nll 2.250e+00, val/best_acc 4.834e-01 (best_acc: 4.505e-01 -> 4.834e-01)
[2023-05-31 05:25:50] [Iter   13000/  64000] trn/loss 2.314e+00, trn/negative_log_likelihood 2.314e+00, trn/w_norm 1.498e+02, trn/g_norm 7.992e-01, trn/lr 7.780e-01, trn/dyn_scale 6.554e+04, val/acc 4.730e-01, val/nll 2.280e+00, val/best_acc 4.834e-01
[2023-05-31 05:32:08] [Iter   14000/  64000] trn/loss 2.289e+00, trn/negative_log_likelihood 2.289e+00, trn/w_norm 1.500e+02, trn/g_norm 8.018e-01, trn/lr 7.703e-01, trn/dyn_scale 6.554e+04, val/acc 4.889e-01, val/nll 2.235e+00, val/best_acc 4.889e-01 (best_acc: 4.834e-01 -> 4.889e-01)
